Time,Signal 1,Signal 2,Signal 3,Signal 4,Signal 5
15.06666667,0.003037216,-8.65E-07,0.011134968,0.000476601,0.016515821
15.1,0.001647816,-2.17E-06,0.010028144,0.000992303,0.016889726
15.13333333,0.000258938,-3.33E-06,0.008784754,0.001477359,0.01699763
15.16666667,-0.001106691,-4.32E-06,0.007427048,0.001923612,0.016842971
15.2,-0.002427176,-5.12E-06,0.005978632,0.002323817,0.016433131
15.23333333,-0.003681801,-5.70E-06,0.004464071,0.002671743,0.015779242
15.26666667,-0.004851338,-6.05E-06,0.002908483,0.002962273,0.014895949
15.3,-0.00591834,-6.19E-06,0.001337142,0.003191464,0.013801113
15.33333333,-0.006867391,-6.10E-06,-0.000224926,0.003356591,0.012515479
15.36666667,-0.007685312,-5.80E-06,-0.001753329,0.003456174,0.011062301
15.4,-0.00836134,-5.32E-06,-0.003224673,0.003489967,0.009466944
15.43333333,-0.008887253,-4.68E-06,-0.004616912,0.00345894,0.007756452
15.46666667,-0.009257449,-3.90E-06,-0.005909668,0.003365226,0.005959113
15.5,-0.009468993,-3.03E-06,-0.007084514,0.003212058,0.004103995
15.53333333,-0.009521605,-2.10E-06,-0.008125225,0.00300368,0.002220499
15.56666667,-0.009417612,-1.14E-06,-0.009017991,0.002745249,0.000337902
15.6,-0.009161859,-1.87E-07,-0.009751586,0.002442713,-0.001515085
15.63333333,-0.008761576,7.26E-07,-0.010317497,0.002102687,-0.00331074
15.66666667,-0.00822621,1.57E-06,-0.01071,0.001732312,-0.005022734
15.7,-0.007567228,2.32E-06,-0.010926201,0.001339117,-0.006626501
15.73333333,-0.006797887,2.95E-06,-0.010966031,0.000930864,-0.00809958
15.76666667,-0.005932979,3.45E-06,-0.010832185,0.000515406,-0.009421913
15.8,-0.004988559,3.81E-06,-0.010530039,0.000100537,-0.010576107
15.83333333,-0.003981655,4.02E-06,-0.010067508,-0.000306148,-0.011547648
15.86666667,-0.002929971,4.07E-06,-0.009454879,-0.000697386,-0.012325065
15.9,-0.001851582,3.99E-06,-0.008704603,-0.001066376,-0.01290005
15.93333333,-0.000764635,3.77E-06,-0.007831066,-0.001406887,-0.013267524
15.96666667,0.000312957,3.43E-06,-0.006850319,-0.001713361,-0.013425656
16,0.001363794,2.99E-06,-0.005779806,-0.001981001,-0.013375832
16.03333333,0.00237127,2.47E-06,-0.004638057,-0.002205838,-0.013122573
16.06666667,0.003319822,1.89E-06,-0.003444383,-0.002384781,-0.012673413
16.1,0.004195167,1.27E-06,-0.002218554,-0.00251566,-0.012038726
16.13333333,0.004984506,6.35E-07,-0.000980486,-0.002597236,-0.011231523
16.16666667,0.005676706,1.18E-08,0.000250078,-0.002629206,-0.010267204
16.2,0.006262443,-5.81E-07,0.001453873,-0.002612184,-0.009163281
16.23333333,0.006734318,-1.12E-06,0.002612407,-0.002547666,-0.00793908
16.26666667,0.007086941,-1.60E-06,0.003708238,-0.002437987,-0.00661541
16.3,0.007316974,-2.00E-06,0.004725228,-0.002286249,-0.005214224
16.33333333,0.007423145,-2.31E-06,0.005648772,-0.002096253,-0.003758266
16.36666667,0.007406228,-2.53E-06,0.006466005,-0.00187241,-0.002270713
16.4,0.007268983,-2.64E-06,0.007165969,-0.001619644,-0.000774813
16.43333333,0.007016078,-2.66E-06,0.007739754,-0.001343291,0.000706467
16.46666667,0.006653966,-2.59E-06,0.0081806,-0.001048988,0.002150785
16.5,0.006190748,-2.43E-06,0.008483965,-0.000742569,0.003536751
16.53333333,0.005636009,-2.19E-06,0.008647562,-0.000429945,0.004844238
16.56666667,0.005000626,-1.90E-06,0.008671347,-0.000116999,0.006054666
16.6,0.00429657,-1.54E-06,0.008557489,0.000190521,0.007151252
16.63333333,0.003536685,-1.16E-06,0.008310288,0.000487107,0.008119241
16.66666667,0.002734464,-7.51E-07,0.007936077,0.000767587,0.008946093
16.7,0.001903816,-3.39E-07,0.007443081,0.001027204,0.009621635
16.73333333,0.001058831,6.54E-08,0.006841256,0.001261705,0.010138176
16.76666667,0.000213545,4.47E-07,0.006142101,0.001467397,0.010490582
16.8,-0.000618283,7.94E-07,0.005358448,0.001641204,0.010676311
16.83333333,-0.00142339,1.10E-06,0.004504237,0.001780712,0.010695406
